"date","indicator","count"
2020-05-04,"CO_IVBed_NonC19",9
2020-05-04,"CO_IVBed_Spare",54
2020-05-05,"CO_GABed_C19_Con",144
2020-05-05,"CO_GABed_C19_Sus",25
2020-05-05,"CO_GABed_NonC19",545
2020-05-05,"CO_GABed_Spare",750
2020-05-05,"CO_IVBed_C19_Con",15
2020-05-05,"CO_IVBed_C19_Sus",5
2020-05-05,"CO_IVBed_NonC19",8
2020-05-05,"CO_IVBed_Spare",55
2020-05-06,"CO_GABed_C19_Con",136
2020-05-06,"CO_GABed_C19_Sus",27
2020-05-06,"CO_GABed_NonC19",556
2020-05-06,"CO_GABed_Spare",744
2020-05-06,"CO_IVBed_C19_Con",16
2020-05-06,"CO_IVBed_C19_Sus",3
2020-05-06,"CO_IVBed_NonC19",10
2020-05-06,"CO_IVBed_Spare",54
2020-05-07,"CO_GABed_C19_Con",129
2020-05-07,"CO_GABed_C19_Sus",45
2020-05-07,"CO_GABed_NonC19",546
2020-05-07,"CO_GABed_Spare",686
2020-05-07,"CO_IVBed_C19_Con",16
2020-05-07,"CO_IVBed_C19_Sus",4
2020-05-07,"CO_IVBed_NonC19",7
2020-05-07,"CO_IVBed_Spare",49
2020-05-08,"CO_GABed_C19_Con",123
2020-05-08,"CO_GABed_C19_Sus",52
2020-05-08,"CO_GABed_NonC19",526
2020-05-08,"CO_GABed_Spare",705
2020-05-08,"CO_IVBed_C19_Con",15
2020-05-08,"CO_IVBed_C19_Sus",4
2020-05-08,"CO_IVBed_NonC19",5
2020-05-08,"CO_IVBed_Spare",52
2020-05-09,"CO_GABed_C19_Con",123
2020-05-09,"CO_GABed_C19_Sus",27
2020-05-09,"CO_GABed_NonC19",559
2020-05-09,"CO_GABed_Spare",697
2020-05-09,"CO_IVBed_C19_Con",14
2020-05-09,"CO_IVBed_C19_Sus",3
2020-05-09,"CO_IVBed_NonC19",5
2020-05-09,"CO_IVBed_Spare",54
2020-05-10,"CO_GABed_C19_Con",123
2020-05-10,"CO_GABed_C19_Sus",35
2020-05-10,"CO_GABed_NonC19",575
2020-05-10,"CO_GABed_Spare",673
2020-05-10,"CO_IVBed_C19_Con",14
2020-05-10,"CO_IVBed_C19_Sus",2
2020-05-10,"CO_IVBed_NonC19",5
2020-05-10,"CO_IVBed_Spare",55
2020-05-11,"CO_GABed_C19_Con",127
2020-05-11,"CO_GABed_C19_Sus",26
2020-05-11,"CO_GABed_NonC19",622
2020-05-11,"CO_GABed_Spare",631
2020-05-11,"CO_IVBed_C19_Con",13
2020-05-11,"CO_IVBed_C19_Sus",3
2020-05-11,"CO_IVBed_NonC19",4
2020-05-11,"CO_IVBed_Spare",56
2020-05-12,"CO_GABed_C19_Con",120
2020-05-12,"CO_GABed_C19_Sus",35
2020-05-12,"CO_GABed_NonC19",592
2020-05-12,"CO_GABed_Spare",630
2020-05-12,"CO_IVBed_C19_Con",12
2020-05-12,"CO_IVBed_C19_Sus",2
2020-05-12,"CO_IVBed_NonC19",5
2020-05-12,"CO_IVBed_Spare",57
2020-05-13,"CO_GABed_C19_Con",113
2020-05-13,"CO_GABed_C19_Sus",28
2020-05-13,"CO_GABed_NonC19",591
2020-05-13,"CO_GABed_Spare",645
2020-05-13,"CO_IVBed_C19_Con",11
2020-05-13,"CO_IVBed_C19_Sus",1
2020-05-13,"CO_IVBed_NonC19",5
2020-05-13,"CO_IVBed_Spare",59
2020-05-14,"CO_GABed_C19_Con",108
2020-05-14,"CO_GABed_C19_Sus",18
2020-05-14,"CO_GABed_NonC19",600
2020-05-14,"CO_GABed_Spare",651
2020-05-14,"CO_IVBed_C19_Con",15
2020-05-14,"CO_IVBed_C19_Sus",2
2020-05-14,"CO_IVBed_NonC19",3
2020-05-14,"CO_IVBed_Spare",56
2020-05-15,"CO_GABed_C19_Con",99
2020-05-15,"CO_GABed_C19_Sus",25
2020-05-15,"CO_GABed_NonC19",573
2020-05-15,"CO_GABed_Spare",680
2020-05-15,"CO_IVBed_C19_Con",11
2020-05-15,"CO_IVBed_C19_Sus",1
2020-05-15,"CO_IVBed_NonC19",6
2020-05-15,"CO_IVBed_Spare",58
2020-05-16,"CO_GABed_C19_Con",98
2020-05-16,"CO_GABed_C19_Sus",34
2020-05-16,"CO_GABed_NonC19",586
2020-05-16,"CO_GABed_Spare",659
2020-05-16,"CO_IVBed_C19_Con",9
2020-05-16,"CO_IVBed_C19_Sus",2
2020-05-16,"CO_IVBed_NonC19",7
2020-05-16,"CO_IVBed_Spare",58
2020-05-17,"CO_GABed_C19_Con",100
2020-05-17,"CO_GABed_C19_Sus",23
2020-05-17,"CO_GABed_NonC19",616
2020-05-17,"CO_GABed_Spare",638
2020-05-17,"CO_IVBed_C19_Con",9
2020-05-17,"CO_IVBed_C19_Sus",6
