"date","health_board","percent_beds_in_use_covid"
2020-04-27,"Aneurin Bevan University Health Board",0.166127989657401
2020-04-27,"Powys Teaching Health Board",0.0769230769230769
2020-04-27,"Velindre University NHS Trust",0.133333333333333
2020-04-27,"Wales",0.149724011039558
2020-04-28,"Betsi Cadwaladr University Health Board",0.173553719008264
2020-04-28,"Hywel Dda University Health Board",0.0903553299492386
2020-04-28,"Abertawe Bro Morgannwg University Health Board",0.191441441441441
2020-04-28,"Cardiff and Vale University Health Board",0.143540669856459
2020-04-28,"Cwm Taf University Health Board",0.143697478991597
2020-04-28,"Aneurin Bevan University Health Board",0.157078215901745
2020-04-28,"Powys Teaching Health Board",0.0684931506849315
2020-04-28,"Velindre University NHS Trust",0.0333333333333333
2020-04-28,"Wales",0.149610940815845
2020-04-29,"Betsi Cadwaladr University Health Board",0.166299559471366
2020-04-29,"Hywel Dda University Health Board",0.0975865687303253
2020-04-29,"Abertawe Bro Morgannwg University Health Board",0.184977578475336
2020-04-29,"Cardiff and Vale University Health Board",0.14830736163353
2020-04-29,"Cwm Taf University Health Board",0.15008576329331
2020-04-29,"Aneurin Bevan University Health Board",0.137685843568197
2020-04-29,"Powys Teaching Health Board",0.0616438356164384
2020-04-29,"Velindre University NHS Trust",0.1
2020-04-29,"Wales",0.146950422066342
2020-04-30,"Betsi Cadwaladr University Health Board",0.168781025923883
2020-04-30,"Hywel Dda University Health Board",0.103882476390346
2020-04-30,"Abertawe Bro Morgannwg University Health Board",0.191256830601093
2020-04-30,"Cardiff and Vale University Health Board",0.124652455977757
2020-04-30,"Cwm Taf University Health Board",0.148117839607201
2020-04-30,"Aneurin Bevan University Health Board",0.14027149321267
2020-04-30,"Powys Teaching Health Board",0.0753424657534247
2020-04-30,"Velindre University NHS Trust",0.133333333333333
2020-04-30,"Wales",0.143670309653916
2020-05-01,"Betsi Cadwaladr University Health Board",0.172642029784887
2020-05-01,"Hywel Dda University Health Board",0.0918141592920354
2020-05-01,"Abertawe Bro Morgannwg University Health Board",0.181111111111111
2020-05-01,"Cardiff and Vale University Health Board",0.0653382761816497
2020-05-01,"Cwm Taf University Health Board",0.160583941605839
2020-05-01,"Aneurin Bevan University Health Board",0.138978668390433
2020-05-01,"Powys Teaching Health Board",0.0684931506849315
2020-05-01,"Velindre University NHS Trust",0.1
2020-05-01,"Wales",0.12846171747731
2020-05-02,"Betsi Cadwaladr University Health Board",0.169529085872576
2020-05-02,"Hywel Dda University Health Board",0.0962389380530973
2020-05-02,"Abertawe Bro Morgannwg University Health Board",0.174444444444444
2020-05-02,"Cardiff and Vale University Health Board",0.0699721964782206
2020-05-02,"Cwm Taf University Health Board",0.179744525547445
2020-05-02,"Aneurin Bevan University Health Board",0.134453781512605
2020-05-02,"Powys Teaching Health Board",0.089041095890411
2020-05-02,"Velindre University NHS Trust",0.166666666666667
2020-05-02,"Wales",0.130910784998835
2020-05-03,"Betsi Cadwaladr University Health Board",0.171001660210293
2020-05-03,"Hywel Dda University Health Board",0.0973451327433628
2020-05-03,"Abertawe Bro Morgannwg University Health Board",0.174444444444444
2020-05-03,"Cardiff and Vale University Health Board",0.0529493729679517
2020-05-03,"Cwm Taf University Health Board",0.152842497670084
2020-05-03,"Aneurin Bevan University Health Board",0.131868131868132
2020-05-03,"Powys Teaching Health Board",0.089041095890411
2020-05-03,"Velindre University NHS Trust",0.1
2020-05-03,"Wales",0.122897196261682
2020-05-04,"Betsi Cadwaladr University Health Board",0.166574738003309
2020-05-04,"Hywel Dda University Health Board",0.0915789473684211
2020-05-04,"Abertawe Bro Morgannwg University Health Board",0.163616792249731
2020-05-04,"Cardiff and Vale University Health Board",0.0645610775661867
2020-05-04,"Cwm Taf University Health Board",0.155493482309125
2020-05-04,"Aneurin Bevan University Health Board",0.131868131868132
2020-05-04,"Powys Teaching Health Board",0.0684931506849315
2020-05-04,"Velindre University NHS Trust",0.2
2020-05-04,"Wales",0.123466790094885
2020-05-05,"Betsi Cadwaladr University Health Board",0.166666666666667
2020-05-05,"Hywel Dda University Health Board",0.0926315789473684
2020-05-05,"Abertawe Bro Morgannwg University Health Board",0.149784482758621
2020-05-05,"Cardiff and Vale University Health Board",0.0654900139340455
2020-05-05,"Cwm Taf University Health Board",0.175257731958763
2020-05-05,"Aneurin Bevan University Health Board",0.122171945701357
2020-05-05,"Powys Teaching Health Board",0.0684931506849315
2020-05-05,"Velindre University NHS Trust",0.266666666666667
2020-05-05,"Wales",0.12327815719412
2020-05-06,"Betsi Cadwaladr University Health Board",0.172527472527473
2020-05-06,"Hywel Dda University Health Board",0.0779768177028451
2020-05-06,"Abertawe Bro Morgannwg University Health Board",0.138228941684665
2020-05-06,"Cardiff and Vale University Health Board",0.0627032048304691
2020-05-06,"Cwm Taf University Health Board",0.160403299725023
2020-05-06,"Aneurin Bevan University Health Board",0.117723156532988
2020-05-06,"Powys Teaching Health Board",0.0547945205479452
2020-05-06,"Velindre University NHS Trust",0.133333333333333
2020-05-06,"Wales",0.117769310703152
2020-05-07,"Betsi Cadwaladr University Health Board",0.202098288238542
2020-05-07,"Hywel Dda University Health Board",0.0756302521008403
2020-05-07,"Abertawe Bro Morgannwg University Health Board",0.113390928725702
2020-05-07,"Cardiff and Vale University Health Board",0.0566651184393869
2020-05-07,"Cwm Taf University Health Board",0.156880733944954
2020-05-07,"Aneurin Bevan University Health Board",0.130904183535762
2020-05-07,"Powys Teaching Health Board",0.0821917808219178
2020-05-07,"Velindre University NHS Trust",0.1
2020-05-07,"Wales",0.121653084982538
2020-05-08,"Betsi Cadwaladr University Health Board",0.216039279869067
2020-05-08,"Hywel Dda University Health Board",0.0851970181043663
2020-05-08,"Abertawe Bro Morgannwg University Health Board",0.100431965442765
2020-05-08,"Cardiff and Vale University Health Board",0.0608453320947515
