"date","indicator","count"
2020-05-14,"CO_IVBed_Spare",44
2020-05-15,"CO_GABed_C19_Con",175
2020-05-15,"CO_GABed_C19_Sus",135
2020-05-15,"CO_GABed_NonC19",893
2020-05-15,"CO_GABed_Spare",568
2020-05-15,"CO_IVBed_C19_Con",9
2020-05-15,"CO_IVBed_C19_Sus",5
2020-05-15,"CO_IVBed_NonC19",9
2020-05-15,"CO_IVBed_Spare",43
2020-05-16,"CO_GABed_C19_Con",208
2020-05-16,"CO_GABed_C19_Sus",103
2020-05-16,"CO_GABed_NonC19",929
2020-05-16,"CO_GABed_Spare",529
2020-05-16,"CO_IVBed_C19_Con",13
2020-05-16,"CO_IVBed_C19_Sus",11
2020-05-16,"CO_IVBed_NonC19",15
2020-05-16,"CO_IVBed_Spare",27
2020-05-17,"CO_GABed_C19_Con",207
2020-05-17,"CO_GABed_C19_Sus",115
2020-05-17,"CO_GABed_NonC19",931
2020-05-17,"CO_GABed_Spare",512
2020-05-17,"CO_IVBed_C19_Con",12
2020-05-17,"CO_IVBed_C19_Sus",4
2020-05-17,"CO_IVBed_NonC19",16
2020-05-17,"CO_IVBed_Spare",34
2020-05-18,"CO_GABed_C19_Con",198
2020-05-18,"CO_GABed_C19_Sus",106
2020-05-18,"CO_GABed_NonC19",967
2020-05-18,"CO_GABed_Spare",542
2020-05-18,"CO_IVBed_C19_Con",12
2020-05-18,"CO_IVBed_C19_Sus",6
2020-05-18,"CO_IVBed_NonC19",12
2020-05-18,"CO_IVBed_Spare",36
2020-05-19,"CO_GABed_C19_Con",191
2020-05-19,"CO_GABed_C19_Sus",137
2020-05-19,"CO_GABed_NonC19",970
2020-05-19,"CO_GABed_Spare",508
2020-05-19,"CO_IVBed_C19_Con",13
2020-05-19,"CO_IVBed_C19_Sus",4
2020-05-19,"CO_IVBed_NonC19",11
2020-05-19,"CO_IVBed_Spare",34
2020-05-20,"CO_GABed_C19_Con",188
2020-05-20,"CO_GABed_C19_Sus",128
2020-05-20,"CO_GABed_NonC19",927
2020-05-20,"CO_GABed_Spare",557
2020-05-20,"CO_IVBed_C19_Con",13
2020-05-20,"CO_IVBed_C19_Sus",0
2020-05-20,"CO_IVBed_NonC19",9
2020-05-20,"CO_IVBed_Spare",39
2020-05-21,"CO_GABed_C19_Con",178
2020-05-21,"CO_GABed_C19_Sus",137
2020-05-21,"CO_GABed_NonC19",930
2020-05-21,"CO_GABed_Spare",572
2020-05-21,"CO_IVBed_C19_Con",13
2020-05-21,"CO_IVBed_C19_Sus",6
2020-05-21,"CO_IVBed_NonC19",9
2020-05-21,"CO_IVBed_Spare",33
2020-05-22,"CO_GABed_C19_Con",184
2020-05-22,"CO_GABed_C19_Sus",134
2020-05-22,"CO_GABed_NonC19",940
2020-05-22,"CO_GABed_Spare",554
2020-05-22,"CO_IVBed_C19_Con",12
2020-05-22,"CO_IVBed_C19_Sus",5
2020-05-22,"CO_IVBed_NonC19",8
2020-05-22,"CO_IVBed_Spare",36
2020-05-23,"CO_GABed_C19_Con",191
2020-05-23,"CO_GABed_C19_Sus",149
2020-05-23,"CO_GABed_NonC19",955
2020-05-23,"CO_GABed_Spare",511
2020-05-23,"CO_IVBed_C19_Con",10
2020-05-23,"CO_IVBed_C19_Sus",3
2020-05-23,"CO_IVBed_NonC19",10
2020-05-23,"CO_IVBed_Spare",43
2020-05-24,"CO_GABed_C19_Con",202
2020-05-24,"CO_GABed_C19_Sus",99
2020-05-24,"CO_GABed_NonC19",981
2020-05-24,"CO_GABed_Spare",523
2020-05-24,"CO_IVBed_C19_Con",5
2020-05-24,"CO_IVBed_C19_Sus",5
2020-05-24,"CO_IVBed_NonC19",10
2020-05-24,"CO_IVBed_Spare",41
2020-05-25,"CO_GABed_C19_Con",189
2020-05-25,"CO_GABed_C19_Sus",101
2020-05-25,"CO_GABed_NonC19",1003
2020-05-25,"CO_GABed_Spare",517
2020-05-25,"CO_IVBed_C19_Con",7
2020-05-25,"CO_IVBed_C19_Sus",5
2020-05-25,"CO_IVBed_NonC19",10
2020-05-25,"CO_IVBed_Spare",37
2020-05-26,"CO_GABed_C19_Con",174
2020-05-26,"CO_GABed_C19_Rec",42
2020-05-26,"CO_GABed_C19_Sus",85
2020-05-26,"CO_GABed_NonC19",999
2020-05-26,"CO_GABed_Spare",480
2020-05-26,"CO_IVBed_C19_Con",6
2020-05-26,"CO_IVBed_C19_Rec",0
2020-05-26,"CO_IVBed_C19_Sus",1
2020-05-26,"CO_IVBed_NonC19",16
2020-05-26,"CO_IVBed_Spare",36
2020-05-27,"CO_GABed_C19_Con",170
2020-05-27,"CO_GABed_C19_Rec",54
2020-05-27,"CO_GABed_C19_Sus",67
2020-05-27,"CO_GABed_NonC19",1027
2020-05-27,"CO_GABed_Spare",468
2020-05-27,"CO_IVBed_C19_Con",5
2020-05-27,"CO_IVBed_C19_Rec",0
