"date","health_board","lockdown_status","admission_type","count"
2020-05-31,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",51
2020-06-01,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",6
2020-06-01,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",75
2020-06-01,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",81
2020-06-02,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",9
2020-06-02,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",85
2020-06-02,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",94
2020-06-03,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",16
2020-06-03,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",105
2020-06-03,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",121
2020-06-04,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",11
2020-06-04,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",62
2020-06-04,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",73
2020-06-05,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",13
2020-06-05,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",78
2020-06-05,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",91
2020-06-06,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",6
2020-06-06,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",79
2020-06-06,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",85
2020-06-07,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",3
2020-06-07,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",65
2020-06-07,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",68
2020-06-08,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",12
2020-06-08,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",43
2020-06-08,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",55
2020-06-09,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",6
2020-06-09,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",85
2020-06-09,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",91
2020-06-10,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",8
2020-06-10,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",103
2020-06-10,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",111
2020-06-11,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",8
2020-06-11,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",93
2020-06-11,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",101
2020-06-12,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",9
2020-06-12,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",98
2020-06-12,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",107
2020-06-13,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",13
2020-06-13,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",65
2020-06-13,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","All",78
2020-06-14,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","C19",10
2020-06-14,"Abertawe Bro Morgannwg University Health Board","No local lockdowns","NonC19",47
