"","date","health_board","percent_beds_in_use_covid"
"147",2020-04-19,"Abertawe Bro Morgannwg University Health Board",0.277777777777778
"148",2020-04-19,"Cardiff and Vale University Health Board",0.160764872521246
"149",2020-04-19,"Cwm Taf University Health Board",0.176165803108808
"150",2020-04-19,"Aneurin Bevan University Health Board",0.198353909465021
"151",2020-04-19,"Velindre University NHS Trust",0.0666666666666667
"152",2020-04-19,"Wales",0.180635400907716
"153",2020-04-20,"Betsi Cadwaladr University Health Board",0.170261941448382
"154",2020-04-20,"Hywel Dda University Health Board",0.126840317100793
"155",2020-04-20,"Abertawe Bro Morgannwg University Health Board",0.276570048309179
"156",2020-04-20,"Cardiff and Vale University Health Board",0.126297577854671
"157",2020-04-20,"Cwm Taf University Health Board",0.166839378238342
"158",2020-04-20,"Aneurin Bevan University Health Board",0.191780821917808
"159",2020-04-20,"Velindre University NHS Trust",0.0666666666666667
"160",2020-04-20,"Wales",0.169365238572861
"161",2020-04-21,"Betsi Cadwaladr University Health Board",0.15511811023622
"162",2020-04-21,"Hywel Dda University Health Board",0.111872146118721
"163",2020-04-21,"Abertawe Bro Morgannwg University Health Board",0.257913247362251
"164",2020-04-21,"Cardiff and Vale University Health Board",0.142445213379469
"165",2020-04-21,"Cwm Taf University Health Board",0.147150259067358
"166",2020-04-21,"Aneurin Bevan University Health Board",0.174858984689766
"167",2020-04-21,"Velindre University NHS Trust",0.1
"168",2020-04-21,"Wales",0.16128569378677
"169",2020-04-22,"Betsi Cadwaladr University Health Board",0.165354330708661
"170",2020-04-22,"Hywel Dda University Health Board",0.121867881548975
"171",2020-04-22,"Abertawe Bro Morgannwg University Health Board",0.248548199767712
"172",2020-04-22,"Cardiff and Vale University Health Board",0.129757785467128
"173",2020-04-22,"Cwm Taf University Health Board",0.140932642487047
"174",2020-04-22,"Aneurin Bevan University Health Board",0.174512987012987
"175",2020-04-22,"Velindre University NHS Trust",0.0333333333333333
"176",2020-04-22,"Wales",0.15896700143472
"177",2020-04-23,"Betsi Cadwaladr University Health Board",0.161593801881572
"178",2020-04-23,"Hywel Dda University Health Board",0.094488188976378
"179",2020-04-23,"Abertawe Bro Morgannwg University Health Board",0.220224719101124
"180",2020-04-23,"Cardiff and Vale University Health Board",0.138421052631579
"181",2020-04-23,"Cwm Taf University Health Board",0.165129924559933
"182",2020-04-23,"Aneurin Bevan University Health Board",0.179084967320261
"183",2020-04-23,"Powys Teaching Health Board",0.0821917808219178
"184",2020-04-23,"Velindre University NHS Trust",0.0666666666666667
"185",2020-04-23,"Wales",0.156484962406015
"186",2020-04-24,"Betsi Cadwaladr University Health Board",0.151933701657459
"187",2020-04-24,"Hywel Dda University Health Board",0.0995073891625616
"188",2020-04-24,"Abertawe Bro Morgannwg University Health Board",0.230941704035874
"189",2020-04-24,"Cardiff and Vale University Health Board",0.135263157894737
